house_number,addition,street
22,,Max-Eyth-Allee
23,,Max-Eyth-Allee
25,,Max-Eyth-Allee
26,,Max-Eyth-Allee
26,a,Max-Eyth-Allee
26,b,Max-Eyth-Allee
27,,Max-Eyth-Allee
28,,Max-Eyth-Allee
29,,Max-Eyth-Allee
30,,Max-Eyth-Allee
31,,Max-Eyth-Allee
32,,Max-Eyth-Allee
33,,Max-Eyth-Allee
34,,Max-Eyth-Allee
34,a,Max-Eyth-Allee
35,,Max-Eyth-Allee
35,a,Max-Eyth-Allee
35,b,Max-Eyth-Allee
36,,Max-Eyth-Allee
37,,Max-Eyth-Allee
38,,Max-Eyth-Allee
39,,Max-Eyth-Allee
40,,Max-Eyth-Allee
43,,Max-Eyth-Allee
44,,Max-Eyth-Allee
44,a,Max-Eyth-Allee
45,,Max-Eyth-Allee
46,,Max-Eyth-Allee
47,,Max-Eyth-Allee
48,,Max-Eyth-Allee
49,,Max-Eyth-Allee
50,,Max-Eyth-Allee
51,a,Max-Eyth-Allee
51,b,Max-Eyth-Allee
51,c,Max-Eyth-Allee
52,,Max-Eyth-Allee
52,a,Max-Eyth-Allee
52,b,Max-Eyth-Allee
53,,Max-Eyth-Allee
100,,Max-Eyth-Allee
100,a,Max-Eyth-Allee
101,,Max-Eyth-Allee
103,,Max-Eyth-Allee
107,,Max-Eyth-Allee
108,,Max-Eyth-Allee
130,,Max-Eyth-Allee
100,,Marquardter Chaussee
102,,Marquardter Chaussee
104,,Marquardter Chaussee
106,,Marquardter Chaussee
108,,Marquardter Chaussee
115,,Marquardter Chaussee
1,,Königsdamm
1,,Mitschurinstraße
1,a,Mitschurinstraße
2,,Mitschurinstraße
10,,Mitschurinstraße
11,,Mitschurinstraße
12,,Mitschurinstraße
13,,Mitschurinstraße
13,a,Mitschurinstraße
14,,Mitschurinstraße
15,,Mitschurinstraße
16,,Mitschurinstraße
17,,Mitschurinstraße
18,,Mitschurinstraße
19,,Mitschurinstraße
20,,Mitschurinstraße
21,,Mitschurinstraße
22,,Mitschurinstraße
23,,Mitschurinstraße
24,,Mitschurinstraße
25,,Mitschurinstraße
25,a,Mitschurinstraße
25,b,Mitschurinstraße
26,,Mitschurinstraße
27,,Mitschurinstraße
28,,Mitschurinstraße
29,,Mitschurinstraße
29,a,Mitschurinstraße
30,a,Mitschurinstraße
30,b,Mitschurinstraße
31,,Mitschurinstraße
31,a,Mitschurinstraße
32,,Mitschurinstraße
33,,Mitschurinstraße
34,,Mitschurinstraße
35,,Mitschurinstraße
36,,Mitschurinstraße
37,,Mitschurinstraße
1,,Einsiedelei
1,,Rückertstraße
2,,Rückertstraße
2,a,Rückertstraße
2,b,Rückertstraße
3,,Rückertstraße
4,,Rückertstraße
5,,Rückertstraße
5,b,Rückertstraße
5,c,Rückertstraße
6,,Rückertstraße
7,,Rückertstraße
7,a,Rückertstraße
7,b,Rückertstraße
8,,Rückertstraße
8,a,Rückertstraße
8,b,Rückertstraße
9,,Rückertstraße
9,a,Rückertstraße
9,b,Rückertstraße
10,,Rückertstraße
10,a,Rückertstraße
10,b,Rückertstraße
11,,Rückertstraße
11,a,Rückertstraße
12,,Rückertstraße
12,a,Rückertstraße
12,b,Rückertstraße
12,c,Rückertstraße
13,,Rückertstraße
13,a,Rückertstraße
13,b,Rückertstraße
13,c,Rückertstraße
13,d,Rückertstraße
14,,Rückertstraße
14,a,Rückertstraße
14,b,Rückertstraße
15,,Rückertstraße
16,,Rückertstraße
16,a,Rückertstraße
16,b,Rückertstraße
16,k,Rückertstraße
16,l,Rückertstraße
16,m,Rückertstraße
17,,Rückertstraße
17,a,Rückertstraße
17,b,Rückertstraße
18,a,Rückertstraße
18,b,Rückertstraße
19,,Rückertstraße
19,a,Rückertstraße
19,b,Rückertstraße
20,,Rückertstraße
20,a,Rückertstraße
20,b,Rückertstraße
20,c,Rückertstraße
20,d,Rückertstraße
20,e,Rückertstraße
20,f,Rückertstraße
20,g,Rückertstraße
21,,Rückertstraße
22,,Rückertstraße
23,,Rückertstraße
24,,Rückertstraße
25,,Rückertstraße
26,,Rückertstraße
26,a,Rückertstraße
27,,Rückertstraße
27,a,Rückertstraße
28,,Rückertstraße
29,,Rückertstraße
30,,Rückertstraße
30,a,Rückertstraße
30,b,Rückertstraße
31,,Rückertstraße
31,a,Rückertstraße
31,b,Rückertstraße
32,,Rückertstraße
33,,Rückertstraße
34,,Rückertstraße
35,,Rückertstraße
36,,Rückertstraße
37,,Rückertstraße
37,a,Rückertstraße
37,b,Rückertstraße
37,c,Rückertstraße
38,,Rückertstraße
39,,Rückertstraße
39,a,Rückertstraße
39,b,Rückertstraße
40,,Rückertstraße
40,a,Rückertstraße
1,,Schneiderweg
1,a,Schneiderweg
2,,Schneiderweg
2,a,Schneiderweg
3,,Schneiderweg
3,a,Schneiderweg
4,,Schneiderweg
4,a,Schneiderweg
1,,Schräger Weg
1,a,Schräger Weg
1,b,Schräger Weg
2,,Schräger Weg
3,,Schräger Weg
3,a,Schräger Weg
4,,Schräger Weg
45,,Schräger Weg
46,,Schräger Weg
1,,Am Windmühlenberg
18,,Marquardter Straße
28,a,Marquardter Straße
30,,Marquardter Straße
31,,Marquardter Straße
34,,Marquardter Straße
72,,Marquardter Straße
74,,Marquardter Straße
81,,Marquardter Straße
94,,Marquardter Straße
99,,Marquardter Straße
100,,Marquardter Straße
117,,Marquardter Straße
119,a,Marquardter Straße
132,,Marquardter Straße
161,,Marquardter Straße
192,,Marquardter Straße
195,,Marquardter Straße
196,,Marquardter Straße
196,a,Marquardter Straße
1,,Werner-Nerlich-Bogen
1,a,Werner-Nerlich-Bogen
1,b,Werner-Nerlich-Bogen
1,c,Werner-Nerlich-Bogen
1,d,Werner-Nerlich-Bogen
2,,Werner-Nerlich-Bogen
2,a,Werner-Nerlich-Bogen
3,,Werner-Nerlich-Bogen
4,,Werner-Nerlich-Bogen
5,,Werner-Nerlich-Bogen
6,,Werner-Nerlich-Bogen
7,,Werner-Nerlich-Bogen
8,,Werner-Nerlich-Bogen
8,a,Werner-Nerlich-Bogen
10,,Werner-Nerlich-Bogen
11,,Werner-Nerlich-Bogen
12,,Werner-Nerlich-Bogen
13,,Werner-Nerlich-Bogen
14,,Werner-Nerlich-Bogen
15,,Werner-Nerlich-Bogen
16,,Werner-Nerlich-Bogen
16,a,Werner-Nerlich-Bogen
17,,Werner-Nerlich-Bogen
18,a,Werner-Nerlich-Bogen
20,,Werner-Nerlich-Bogen
20,a,Werner-Nerlich-Bogen
21,,Werner-Nerlich-Bogen
22,,Werner-Nerlich-Bogen
23,,Werner-Nerlich-Bogen
24,,Werner-Nerlich-Bogen
25,,Werner-Nerlich-Bogen
26,,Werner-Nerlich-Bogen
27,,Werner-Nerlich-Bogen
28,,Werner-Nerlich-Bogen
28,a,Werner-Nerlich-Bogen
29,,Werner-Nerlich-Bogen
30,,Werner-Nerlich-Bogen
31,,Werner-Nerlich-Bogen
1,,Windmühlenweg
1,,An der Vogelwiese
2,,An der Vogelwiese
3,,An der Vogelwiese
4,,An der Vogelwiese
5,,An der Vogelwiese
6,,An der Vogelwiese
7,,An der Vogelwiese
8,,An der Vogelwiese
9,,An der Vogelwiese
10,,An der Vogelwiese
11,,An der Vogelwiese
12,,An der Vogelwiese
14,,An der Vogelwiese
16,,An der Vogelwiese
18,,An der Vogelwiese
20,,An der Vogelwiese
22,,An der Vogelwiese
24,,An der Vogelwiese
26,,An der Vogelwiese
28,,An der Vogelwiese
1,,Alexander-Klein-Straße
1,a,Alexander-Klein-Straße
1,b,Alexander-Klein-Straße
1,c,Alexander-Klein-Straße
1,d,Alexander-Klein-Straße
2,,Alexander-Klein-Straße
3,,Alexander-Klein-Straße
3,a,Alexander-Klein-Straße
3,b,Alexander-Klein-Straße
3,c,Alexander-Klein-Straße
4,,Alexander-Klein-Straße
5,,Alexander-Klein-Straße
5,a,Alexander-Klein-Straße
7,,Alexander-Klein-Straße
7,a,Alexander-Klein-Straße
9,,Alexander-Klein-Straße
9,a,Alexander-Klein-Straße
11,,Alexander-Klein-Straße
11,a,Alexander-Klein-Straße
11,b,Alexander-Klein-Straße
11,c,Alexander-Klein-Straße
13,,Alexander-Klein-Straße
13,a,Alexander-Klein-Straße
13,b,Alexander-Klein-Straße
1,,David-Gilly-Straße
3,,David-Gilly-Straße
4,,David-Gilly-Straße
5,,David-Gilly-Straße
1,,Erich-Mendelsohn-Allee
1,a,Erich-Mendelsohn-Allee
1,b,Erich-Mendelsohn-Allee
1,c,Erich-Mendelsohn-Allee
1,d,Erich-Mendelsohn-Allee
1,e,Erich-Mendelsohn-Allee
1,f,Erich-Mendelsohn-Allee
3,,Erich-Mendelsohn-Allee
4,,Erich-Mendelsohn-Allee
4,a,Erich-Mendelsohn-Allee
5,,Erich-Mendelsohn-Allee
6,,Erich-Mendelsohn-Allee
7,,Erich-Mendelsohn-Allee
8,,Erich-Mendelsohn-Allee
9,,Erich-Mendelsohn-Allee
10,,Erich-Mendelsohn-Allee
11,,Erich-Mendelsohn-Allee
12,,Erich-Mendelsohn-Allee
13,,Erich-Mendelsohn-Allee
15,,Erich-Mendelsohn-Allee
17,,Erich-Mendelsohn-Allee
19,,Erich-Mendelsohn-Allee
21,,Erich-Mendelsohn-Allee
23,,Erich-Mendelsohn-Allee
25,,Erich-Mendelsohn-Allee
27,,Erich-Mendelsohn-Allee
29,,Erich-Mendelsohn-Allee
31,,Erich-Mendelsohn-Allee
33,,Erich-Mendelsohn-Allee
35,,Erich-Mendelsohn-Allee
37,,Erich-Mendelsohn-Allee
39,,Erich-Mendelsohn-Allee
41,,Erich-Mendelsohn-Allee
43,,Erich-Mendelsohn-Allee
45,,Erich-Mendelsohn-Allee
47,,Erich-Mendelsohn-Allee
49,,Erich-Mendelsohn-Allee
51,,Erich-Mendelsohn-Allee
53,,Erich-Mendelsohn-Allee
55,,Erich-Mendelsohn-Allee
57,,Erich-Mendelsohn-Allee
59,,Erich-Mendelsohn-Allee
61,,Erich-Mendelsohn-Allee
63,,Erich-Mendelsohn-Allee
65,,Erich-Mendelsohn-Allee
67,,Erich-Mendelsohn-Allee
67,a,Erich-Mendelsohn-Allee
69,,Erich-Mendelsohn-Allee
69,a,Erich-Mendelsohn-Allee
70,,Erich-Mendelsohn-Allee
